s_date,isin,rate
, 선바이오 (067370),1.5:1
, 오킨스전자 (080580),2:01
, 이지바이오 (353810),5:01
2021년 1월 5일, 일진디스플 (020760),1.067:1
2021년 1월 1일, DL (000210),1:2.25
, DL우 (000215),1:2.25
2020년 12월 30일, 박셀바이오 (323990),2:01
2020년 12월 29일, DI동일 (001530),1.025:1
, JW Pharmaceutical (001067),1.03:1
, JW Pharmaceutical (001065),1.03:1
, JW신약 (067290),1.05:1
, JW중외제약 (001060),1.03:1
, JW홀딩스 (096760),1.03:1
, NHN한국사이버결제 (060250),1.07:1
, TCC스틸 (002710),1.022:1
, 가온미디어 (078890),1.02:1
, 고려제강 (002240),1.15:1
, 나스미디어 (089600),1.1:1
, 노바텍 (285490),2:01
, 도이치모터스 (067990),1.02:1
, 동운아나텍 (094170),1.1:1
, 동일고무벨트 (163560),1.018:1
, 동일기연 (032960),1.03:1
, 리노스 (039980),1.05:1
, 메디톡스 (086900),1.05:1
, 보령 (003850),1.1:1
, 부광약품 (003000),1.1:1
, 비나텍 (126340),1.05:1
, 서린바이오 (038070),1.039:1
, 서부T&D (006730),1.02:1
, 성우테크론 (045300),1.02:1
, 셀트리온 (068270),1.02:1
, 셀트리온제약 (068760),1.02:1
, 셀트리온헬스케어 (091990),1.02:1
, 시큐브 (131090),1.054:1
